rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Triple 2 frame Double bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Twin Room, Non Smoking (Standard Floor),2 Twin Beds",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Twin Room - single occupancy,room,deluxe,private bathroom,twin/twin-or-double,undefined,not club,undefined,no balcony,undefined,undefined
"Suite, 1 King Bed, Business Lounge Access, Oceanfront (1 King Bed)",suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,ocean front,undefined
Classic  Room,room,classic,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Classic Room DUS Double,room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Deluxe House, 1 King Bed",cottage,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Room assigned at check in,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Smart Room Double(1 Amount),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Family Room, Multiple Beds, Non Smoking",room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"2 bedroom spacious apartment for 6, 1 King Bed, 2 Twin Beds and 1 Queen Sofa Bed",apartment,undefined,private bathroom,twin/twin-or-double,undefined,not club,2 bedrooms,no balcony,undefined,undefined
1 Queen Wicked Small Room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Double/Twin Standard room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Junior Suite Two Queens Room Only,junior-suite,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 Double Bed with Sofa bed, Smoking",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Double Basic Rate with Full Board,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Single Studio (terrace),studio,undefined,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
